Region,School,Student Number,Class Year,Highest Composite,Highest English,Highest Mathematics,Highest Reading,Highest Science,Number Exams Taken
South Region,IDEA College Prep South 6,10408,2024,14,14,14,14,14,4
South Region,IDEA College Prep South 6,10409,2024,13,11,15,14,14,3
South Region,IDEA College Prep South 6,10410,2024,16,17,15,16,19,6
South Region,IDEA College Prep South 6,10411,2024,14,14,15,13,16,6
South Region,IDEA College Prep South 6,10412,2024,15,18,16,17,16,5
South Region,IDEA College Prep South 6,10413,2024,21,23,19,22,21,4
South Region,IDEA College Prep South 6,10414,2024,18,20,16,20,21,5
South Region,IDEA College Prep South 6,10415,2024,16,16,17,17,16,5
South Region,IDEA College Prep South 6,10416,2024,16,16,18,14,18,5
South Region,IDEA College Prep South 6,10417,2024,19,22,20,20,20,5
South Region,IDEA College Prep South 6,10418,2024,25,24,23,27,25,5
South Region,IDEA College Prep South 6,10419,2024,21,23,16,26,22,5
South Region,IDEA College Prep South 6,10420,2024,15,12,16,14,19,6
South Region,IDEA College Prep South 6,10421,2024,16,16,17,16,18,6
South Region,IDEA College Prep South 6,10422,2024,17,16,18,18,19,5
South Region,IDEA College Prep South 6,10423,2024,24,21,22,26,27,3
South Region,IDEA College Prep South 6,10424,2024,22,21,23,21,23,6
South Region,IDEA College Prep South 6,10425,2024,13,14,15,14,14,3
South Region,IDEA College Prep South 6,10426,2024,17,17,16,16,19,4
South Region,IDEA College Prep South 6,10427,2024,20,20,24,20,21,6
South Region,IDEA College Prep South 6,10428,2024,20,17,25,20,23,6
South Region,IDEA College Prep South 6,10429,2024,19,21,21,19,21,3
South Region,IDEA College Prep South 6,10430,2024,20,23,20,21,21,6
South Region,IDEA College Prep South 6,10431,2024,28,26,32,29,35,6
South Region,IDEA College Prep South 6,10432,2024,20,18,24,21,23,6
South Region,IDEA College Prep South 6,10433,2024,19,17,23,20,21,6
South Region,IDEA College Prep South 6,10434,2024,20,20,18,22,22,4
South Region,IDEA College Prep South 6,10435,2024,14,15,21,12,15,5
South Region,IDEA College Prep South 6,10436,2024,30,34,26,35,30,5
South Region,IDEA College Prep South 6,10437,2024,15,14,16,17,17,6
South Region,IDEA College Prep South 6,10438,2024,18,17,17,21,19,6
South Region,IDEA College Prep South 6,10439,2024,16,11,14,22,17,5
South Region,IDEA College Prep South 6,10440,2024,21,19,23,23,23,5
South Region,IDEA College Prep South 6,10441,2024,20,19,18,23,19,6
South Region,IDEA College Prep South 6,10442,2024,18,20,17,23,17,6
South Region,IDEA College Prep South 6,10443,2024,22,23,24,22,26,5
South Region,IDEA College Prep South 6,10444,2024,17,19,16,18,17,6
South Region,IDEA College Prep South 6,10445,2024,21,20,21,24,23,5
South Region,IDEA College Prep South 6,10446,2024,16,16,19,14,18,3
South Region,IDEA College Prep South 6,10447,2024,18,19,16,20,21,6
South Region,IDEA College Prep South 6,10448,2024,13,12,15,15,14,4
South Region,IDEA College Prep South 6,10449,2024,17,15,17,17,20,6
South Region,IDEA College Prep South 6,10450,2024,23,23,26,25,22,5
South Region,IDEA College Prep South 6,10451,2024,26,24,25,30,25,6
South Region,IDEA College Prep South 6,10452,2024,19,16,21,19,19,5
South Region,IDEA College Prep South 6,10453,2024,17,16,19,16,18,5
South Region,IDEA College Prep South 6,10454,2024,16,14,17,18,18,5
South Region,IDEA College Prep South 6,10455,2024,27,32,25,30,25,6
South Region,IDEA College Prep South 6,10456,2024,14,13,16,13,16,4
South Region,IDEA College Prep South 6,10457,2024,17,17,16,18,17,5
South Region,IDEA College Prep South 6,10458,2024,15,14,17,14,20,6
South Region,IDEA College Prep South 6,10459,2024,17,19,16,20,17,3
South Region,IDEA College Prep South 6,10460,2024,14,14,16,15,16,6
South Region,IDEA College Prep South 6,10461,2024,27,32,24,33,30,5
South Region,IDEA College Prep South 6,10462,2024,21,22,22,20,24,5
South Region,IDEA College Prep South 6,10463,2024,26,31,23,28,26,4
South Region,IDEA College Prep South 6,10464,2024,24,26,20,31,21,3
South Region,IDEA College Prep South 6,10465,2024,23,23,21,26,23,5
South Region,IDEA College Prep South 6,10466,2024,25,21,27,25,27,5
South Region,IDEA College Prep South 6,10467,2024,19,21,20,22,21,6
South Region,IDEA College Prep South 6,10468,2024,29,33,27,32,27,6
South Region,IDEA College Prep South 6,10469,2024,22,22,18,27,23,5
South Region,IDEA College Prep South 6,10470,2024,20,20,21,22,21,5
South Region,IDEA College Prep South 6,10471,2024,22,22,22,23,22,6
South Region,IDEA College Prep South 6,10472,2024,16,15,16,18,14,4
South Region,IDEA College Prep South 6,10473,2024,19,15,17,24,19,6
South Region,IDEA College Prep South 6,10474,2024,17,20,16,17,19,6
South Region,IDEA College Prep South 6,10475,2024,25,24,27,28,26,6
South Region,IDEA College Prep South 6,10476,2024,21,19,22,23,23,6
South Region,IDEA College Prep South 6,10477,2024,18,16,18,21,18,6
West Region,IDEA College Prep West 1,10478,2024,21,19,18,29,23,5
West Region,IDEA College Prep West 1,10479,2024,19,19,17,22,23,5
West Region,IDEA College Prep West 1,10480,2024,19,17,18,23,21,5
West Region,IDEA College Prep West 1,10481,2024,18,22,16,23,18,5
West Region,IDEA College Prep West 1,10482,2024,16,16,17,14,18,5
West Region,IDEA College Prep West 1,10483,2024,17,17,19,15,20,5
West Region,IDEA College Prep West 1,10484,2024,20,21,20,25,22,5
West Region,IDEA College Prep West 1,10485,2024,30,35,26,31,27,5
West Region,IDEA College Prep West 1,10486,2024,14,11,16,16,16,4
West Region,IDEA College Prep West 1,10487,2024,23,24,16,31,24,4
West Region,IDEA College Prep West 1,10488,2024,14,11,15,17,17,2
West Region,IDEA College Prep West 1,10489,2024,13,14,15,13,16,5
West Region,IDEA College Prep West 1,10490,2024,17,17,14,17,19,4
West Region,IDEA College Prep West 1,10491,2024,29,34,25,32,25,5
West Region,IDEA College Prep West 1,10492,2024,15,13,16,17,19,5
West Region,IDEA College Prep West 1,10493,2024,14,13,16,14,13,4
West Region,IDEA College Prep West 1,10494,2024,14,12,16,15,16,5
West Region,IDEA College Prep West 1,10495,2024,15,14,16,16,18,5
West Region,IDEA College Prep West 1,10496,2024,19,19,18,20,20,5
West Region,IDEA College Prep West 1,10497,2024,17,16,16,20,18,4
West Region,IDEA College Prep West 1,10498,2024,16,13,15,21,17,3
West Region,IDEA College Prep West 1,10499,2024,16,15,15,18,18,3
West Region,IDEA College Prep West 1,10500,2024,16,16,16,19,17,3
West Region,IDEA College Prep West 1,10501,2024,14,14,16,16,14,5
West Region,IDEA College Prep West 1,10502,2024,16,17,18,16,23,5
West Region,IDEA College Prep West 1,10503,2024,16,14,16,16,19,5
West Region,IDEA College Prep West 1,10504,2024,14,13,17,14,18,5
West Region,IDEA College Prep West 1,10505,2024,16,14,17,16,18,5
West Region,IDEA College Prep West 1,10506,2024,20,22,17,25,21,4
West Region,IDEA College Prep West 1,10507,2024,20,21,16,19,23,4
West Region,IDEA College Prep West 1,10508,2024,19,20,18,18,24,4
West Region,IDEA College Prep West 1,10509,2024,19,16,16,23,22,5
West Region,IDEA College Prep West 1,10510,2024,25,23,23,28,25,6
West Region,IDEA College Prep West 1,10511,2024,13,13,14,12,19,3
West Region,IDEA College Prep West 1,10512,2024,15,14,16,19,14,5
West Region,IDEA College Prep West 1,10513,2024,13,10,15,15,15,5
West Region,IDEA College Prep West 1,10514,2024,26,24,25,30,28,4
West Region,IDEA College Prep West 1,10515,2024,21,22,19,28,21,5
West Region,IDEA College Prep West 1,10516,2024,20,19,16,21,24,4
West Region,IDEA College Prep West 1,10517,2024,16,16,17,19,19,2
West Region,IDEA College Prep West 1,10518,2024,18,18,18,18,22,4
West Region,IDEA College Prep West 1,10519,2024,31,35,27,36,32,7
West Region,IDEA College Prep West 1,10520,2024,15,15,15,16,17,4
West Region,IDEA College Prep West 1,10521,2024,20,20,19,22,21,5
West Region,IDEA College Prep West 1,10522,2024,13,12,15,13,13,3
West Region,IDEA College Prep West 1,10523,2024,23,24,19,27,25,5
West Region,IDEA College Prep West 1,10524,2024,13,15,15,11,14,2
West Region,IDEA College Prep West 1,10525,2024,15,15,15,18,16,5
West Region,IDEA College Prep West 1,10526,2024,17,17,17,18,19,5
West Region,IDEA College Prep West 1,10527,2024,17,18,18,14,19,5
West Region,IDEA College Prep West 1,10528,2024,30,35,26,35,29,5
West Region,IDEA College Prep West 1,10529,2024,15,15,16,18,14,4
West Region,IDEA College Prep West 1,10530,2024,22,23,25,24,24,5
West Region,IDEA College Prep West 1,10531,2024,15,14,16,13,18,5
West Region,IDEA College Prep West 1,10532,2024,17,17,16,16,20,4
West Region,IDEA College Prep West 1,10533,2024,13,15,16,14,17,5
West Region,IDEA College Prep West 1,10534,2024,17,19,15,20,18,4
West Region,IDEA College Prep West 1,10535,2024,30,29,27,34,30,4
West Region,IDEA College Prep West 1,10536,2024,16,15,19,14,19,4
West Region,IDEA College Prep West 1,10537,2024,15,15,17,17,19,5
West Region,IDEA College Prep West 1,10538,2024,19,18,17,22,22,6
West Region,IDEA College Prep West 1,10539,2024,16,18,15,22,16,5
West Region,IDEA College Prep West 1,10540,2024,13,10,15,13,15,5
West Region,IDEA College Prep West 1,10541,2024,23,21,19,33,25,4
West Region,IDEA College Prep West 1,10542,2024,15,14,16,15,20,5
West Region,IDEA College Prep West 1,10543,2024,21,22,20,23,21,3
West Region,IDEA College Prep West 1,10544,2024,13,13,14,12,14,4
West Region,IDEA College Prep West 1,10545,2024,20,19,18,23,22,5
West Region,IDEA College Prep West 1,10546,2024,14,13,15,14,16,3
West Region,IDEA College Prep West 1,10547,2024,14,14,15,14,16,3
West Region,IDEA College Prep West 1,10548,2024,16,14,16,14,23,2
West Region,IDEA College Prep West 1,10549,2024,17,15,14,22,16,2
West Region,IDEA College Prep West 1,10550,2024,22,27,20,24,22,3
West Region,IDEA College Prep West 1,10551,2024,19,20,17,19,21,4
West Region,IDEA College Prep West 1,10552,2024,19,17,18,21,20,5
West Region,IDEA College Prep West 1,10553,2024,13,10,16,15,15,3
West Region,IDEA College Prep West 1,10554,2024,19,20,16,24,18,5
West Region,IDEA College Prep West 1,10555,2024,26,27,25,27,25,5
West Region,IDEA College Prep West 1,10556,2024,24,24,26,24,23,5
West Region,IDEA College Prep West 1,10557,2024,17,18,17,19,18,5
West Region,IDEA College Prep West 1,10558,2024,18,19,21,18,20,5
West Region,IDEA College Prep West 1,10559,2024,18,18,15,20,19,3
West Region,IDEA College Prep West 1,10560,2024,23,22,23,30,26,5
West Region,IDEA College Prep West 1,10561,2024,31,35,28,33,29,5
West Region,IDEA College Prep West 2,10562,2024,15,13,15,13,17,4
West Region,IDEA College Prep West 2,10563,2024,17,16,18,19,18,4
West Region,IDEA College Prep West 2,10564,2024,24,21,23,29,23,4
West Region,IDEA College Prep West 2,10565,2024,14,13,15,16,16,4
West Region,IDEA College Prep West 2,10566,2024,22,24,24,22,23,3
West Region,IDEA College Prep West 2,10567,2024,22,22,21,25,22,4
West Region,IDEA College Prep West 2,10568,2024,22,22,25,28,21,4
West Region,IDEA College Prep West 2,10569,2024,21,20,23,22,22,4
West Region,IDEA College Prep West 2,10570,2024,20,20,16,24,22,4
West Region,IDEA College Prep West 2,10571,2024,22,23,20,24,23,4
West Region,IDEA College Prep West 2,10572,2024,20,21,18,19,22,4
West Region,IDEA College Prep West 2,10573,2024,22,24,20,21,21,4
West Region,IDEA College Prep West 2,10574,2024,21,22,17,28,21,6
West Region,IDEA College Prep West 2,10575,2024,22,24,19,26,22,4
West Region,IDEA College Prep West 2,10576,2024,25,26,20,30,25,3
West Region,IDEA College Prep West 2,10577,2024,23,25,21,32,21,4
West Region,IDEA College Prep West 2,10578,2024,17,18,16,17,18,4
West Region,IDEA College Prep West 2,10579,2024,22,21,16,25,25,4
West Region,IDEA College Prep West 2,10580,2024,14,10,16,15,16,3
West Region,IDEA College Prep West 2,10581,2024,17,18,16,15,19,4
West Region,IDEA College Prep West 2,10582,2024,19,18,20,18,25,4
West Region,IDEA College Prep West 2,10583,2024,19,19,23,19,20,4
West Region,IDEA College Prep West 2,10584,2024,24,24,25,27,24,4
West Region,IDEA College Prep West 2,10585,2024,25,23,26,31,26,4
West Region,IDEA College Prep West 2,10586,2024,24,27,21,28,25,4
West Region,IDEA College Prep West 2,10587,2024,14,15,14,14,16,4
West Region,IDEA College Prep West 2,10588,2024,17,19,15,21,17,4
West Region,IDEA College Prep West 2,10589,2024,17,17,16,21,17,4
West Region,IDEA College Prep West 2,10590,2024,19,15,19,20,21,4
West Region,IDEA College Prep West 2,10591,2024,21,21,18,23,25,4
West Region,IDEA College Prep West 2,10592,2024,27,25,23,31,28,4
West Region,IDEA College Prep West 2,10593,2024,28,27,23,34,29,4
West Region,IDEA College Prep West 2,10594,2024,20,19,18,25,21,4
West Region,IDEA College Prep West 2,10595,2024,27,29,23,34,24,4
West Region,IDEA College Prep West 2,10596,2024,18,16,19,22,22,4
West Region,IDEA College Prep West 2,10597,2024,17,15,18,17,21,3
West Region,IDEA College Prep West 2,10598,2024,18,18,20,17,19,4
West Region,IDEA College Prep West 2,10599,2024,15,14,15,16,17,4
West Region,IDEA College Prep West 2,10600,2024,25,26,24,27,23,4
West Region,IDEA College Prep West 2,10601,2024,16,13,15,20,17,4
West Region,IDEA College Prep West 2,10602,2024,17,16,14,20,19,4
West Region,IDEA College Prep West 2,10603,2024,22,20,23,23,23,4
West Region,IDEA College Prep West 2,10604,2024,23,25,24,26,22,4
West Region,IDEA College Prep West 2,10605,2024,24,23,25,27,23,4
West Region,IDEA College Prep West 2,10606,2024,20,17,20,27,17,4
West Region,IDEA College Prep West 2,10607,2024,14,14,15,17,12,3
West Region,IDEA College Prep West 2,10608,2024,15,16,14,16,18,4
West Region,IDEA College Prep West 2,10609,2024,21,21,25,18,22,4
West Region,IDEA College Prep West 2,10610,2024,25,23,20,32,24,4
West Region,IDEA College Prep West 2,10611,2024,20,20,19,22,23,4
West Region,IDEA College Prep West 2,10612,2024,17,16,17,20,16,4
West Region,IDEA College Prep West 2,10613,2024,26,26,26,26,30,4
West Region,IDEA College Prep West 2,10614,2024,22,23,24,23,23,4
West Region,IDEA College Prep West 2,10615,2024,16,14,16,15,18,3
West Region,IDEA College Prep West 3,10616,2024,18,21,21,16,20,4
West Region,IDEA College Prep West 3,10617,2024,27,33,24,30,25,4
West Region,IDEA College Prep West 3,10618,2024,16,16,18,20,18,5
West Region,IDEA College Prep West 3,10619,2024,19,15,24,20,20,4
West Region,IDEA College Prep West 3,10620,2024,18,18,17,23,20,4
West Region,IDEA College Prep West 3,10621,2024,17,17,17,19,20,5
West Region,IDEA College Prep West 3,10622,2024,20,23,20,20,20,5
West Region,IDEA College Prep West 3,10623,2024,20,19,17,21,21,3
West Region,IDEA College Prep West 3,10624,2024,13,11,16,12,14,4
West Region,IDEA College Prep West 3,10625,2024,17,14,18,19,19,4
West Region,IDEA College Prep West 3,10626,2024,15,15,16,14,18,5
West Region,IDEA College Prep West 3,10627,2024,18,16,16,20,20,5
West Region,IDEA College Prep West 3,10628,2024,16,11,20,15,19,2
West Region,IDEA College Prep West 3,10629,2024,18,20,14,21,17,4
West Region,IDEA College Prep West 3,10630,2024,20,21,18,22,23,3
West Region,IDEA College Prep West 3,10631,2024,18,21,16,19,19,4
West Region,IDEA College Prep West 3,10632,2024,18,20,15,21,16,4
West Region,IDEA College Prep West 3,10633,2024,18,17,21,17,18,4
West Region,IDEA College Prep West 3,10634,2024,21,24,19,23,21,4
West Region,IDEA College Prep West 3,10635,2024,15,14,15,16,17,5
West Region,IDEA College Prep West 3,10636,2024,13,11,14,18,14,2
West Region,IDEA College Prep West 3,10637,2024,20,22,19,21,22,4
West Region,IDEA College Prep West 3,10638,2024,20,21,18,20,23,4
West Region,IDEA College Prep West 3,10639,2024,23,25,23,24,25,4
West Region,IDEA College Prep West 3,10640,2024,17,15,16,20,19,3
West Region,IDEA College Prep West 3,10641,2024,16,15,17,17,16,2
West Region,IDEA College Prep West 3,10642,2024,24,24,26,23,25,4
West Region,IDEA College Prep West 3,10643,2024,19,17,19,23,21,4
West Region,IDEA College Prep West 3,10644,2024,25,27,25,29,23,3
West Region,IDEA College Prep West 3,10645,2024,14,14,14,13,15,3
West Region,IDEA College Prep West 3,10646,2024,15,15,18,16,16,4
West Region,IDEA College Prep West 3,10647,2024,22,22,25,18,25,5
West Region,IDEA College Prep West 3,10648,2024,27,34,20,32,25,5
West Region,IDEA College Prep West 3,10649,2024,17,20,16,22,19,5
West Region,IDEA College Prep West 3,10650,2024,17,17,16,21,18,5
West Region,IDEA College Prep West 3,10651,2024,19,20,20,19,19,5
West Region,IDEA College Prep West 3,10652,2024,14,15,16,12,17,5
West Region,IDEA College Prep West 3,10653,2024,27,27,29,28,30,6
West Region,IDEA College Prep West 3,10654,2024,29,33,29,27,29,5
West Region,IDEA College Prep West 3,10655,2024,24,23,25,28,24,4
West Region,IDEA College Prep West 3,10656,2024,13,13,14,13,12,1
West Region,IDEA College Prep West 3,10657,2024,16,17,16,16,16,3
West Region,IDEA College Prep West 3,10658,2024,26,25,23,35,24,5
West Region,IDEA College Prep West 3,10659,2024,17,16,16,17,19,5
West Region,IDEA College Prep West 3,10660,2024,18,19,16,21,21,5
West Region,IDEA College Prep West 3,10661,2024,14,14,16,19,18,5
West Region,IDEA College Prep West 3,10662,2024,15,14,16,16,16,4
West Region,IDEA College Prep West 3,10663,2024,16,15,16,17,17,4
West Region,IDEA College Prep West 3,10664,2024,22,23,23,22,23,5
West Region,IDEA College Prep West 3,10665,2024,13,14,15,13,16,5
West Region,IDEA College Prep West 3,10666,2024,20,21,24,23,21,4
West Region,IDEA College Prep West 3,10667,2024,15,16,16,15,18,5
West Region,IDEA College Prep West 3,10668,2024,27,32,26,25,29,5
West Region,IDEA College Prep West 3,10669,2024,18,19,16,19,22,5
West Region,IDEA College Prep West 3,10670,2024,17,16,16,18,18,4
West Region,IDEA College Prep West 3,10671,2024,17,16,15,22,16,4
West Region,IDEA College Prep West 3,10672,2024,20,17,22,23,23,5
West Region,IDEA College Prep West 3,10673,2024,15,15,16,12,18,4
West Region,IDEA College Prep West 3,10674,2024,17,18,17,17,18,5
West Region,IDEA College Prep West 3,10675,2024,18,15,23,16,22,4
West Region,IDEA College Prep West 3,10676,2024,13,11,15,12,16,3
West Region,IDEA College Prep West 3,10677,2024,22,20,22,23,24,4
West Region,IDEA College Prep West 3,10678,2024,17,17,15,16,18,4
West Region,IDEA College Prep West 3,10679,2024,21,23,20,25,23,5
West Region,IDEA College Prep West 3,10680,2024,27,29,26,29,30,5
West Region,IDEA College Prep West 3,10681,2024,25,25,26,26,25,5
West Region,IDEA College Prep West 3,10682,2024,18,17,20,20,19,4
West Region,IDEA College Prep West 3,10683,2024,16,16,18,14,19,4
West Region,IDEA College Prep West 3,10684,2024,21,21,18,23,23,5
West Region,IDEA College Prep West 3,10685,2024,14,14,15,15,16,5
West Region,IDEA College Prep West 3,10686,2024,22,21,25,23,25,4
West Region,IDEA College Prep West 3,10687,2024,17,19,17,17,18,5
West Region,IDEA College Prep West 3,10688,2024,17,15,18,18,21,5
West Region,IDEA College Prep West 3,10689,2024,22,22,18,25,25,4
West Region,IDEA College Prep West 3,10690,2024,19,20,24,18,23,5
West Region,IDEA College Prep West 3,10691,2024,21,20,18,23,21,2
West Region,IDEA College Prep West 3,10692,2024,17,14,22,16,17,4
West Region,IDEA College Prep West 3,10693,2024,14,15,16,14,14,4
West Region,IDEA College Prep West 4,10694,2024,13,11,15,13,17,4
West Region,IDEA College Prep West 4,10695,2024,14,16,16,13,16,4
West Region,IDEA College Prep West 4,10696,2024,15,15,16,17,18,5
West Region,IDEA College Prep West 4,10697,2024,21,22,21,23,24,5
West Region,IDEA College Prep West 4,10698,2024,18,19,16,21,20,6
West Region,IDEA College Prep West 4,10699,2024,14,15,15,15,17,5
West Region,IDEA College Prep West 4,10700,2024,17,13,16,19,21,4
West Region,IDEA College Prep West 4,10701,2024,15,15,17,16,17,5
West Region,IDEA College Prep West 4,10702,2024,14,12,16,13,16,5
West Region,IDEA College Prep West 4,10703,2024,25,28,22,29,23,6
West Region,IDEA College Prep West 4,10704,2024,15,13,15,18,16,3
West Region,IDEA College Prep West 4,10705,2024,22,21,23,22,24,3
West Region,IDEA College Prep West 4,10706,2024,21,22,21,24,21,3
West Region,IDEA College Prep West 4,10707,2024,13,11,14,15,17,3
West Region,IDEA College Prep West 4,10708,2024,15,16,15,18,15,5
West Region,IDEA College Prep West 4,10709,2024,21,24,17,28,20,5
West Region,IDEA College Prep West 4,10710,2024,25,26,18,33,25,5
West Region,IDEA College Prep West 4,10711,2024,26,26,28,27,24,6
West Region,IDEA College Prep West 4,10712,2024,18,16,17,20,21,5
West Region,IDEA College Prep West 4,10713,2024,14,10,15,14,15,3
West Region,IDEA College Prep West 4,10714,2024,19,20,17,21,19,5
West Region,IDEA College Prep West 4,10715,2024,31,36,28,35,31,8
West Region,IDEA College Prep West 4,10716,2024,15,15,14,19,16,3
West Region,IDEA College Prep West 4,10717,2024,13,15,15,15,14,5
West Region,IDEA College Prep West 4,10718,2024,17,20,18,17,19,6
West Region,IDEA College Prep West 4,10719,2024,27,31,25,33,25,8
West Region,IDEA College Prep West 4,10720,2024,25,24,25,30,26,4
West Region,IDEA College Prep West 4,10721,2024,17,18,18,14,19,5
West Region,IDEA College Prep West 4,10722,2024,17,16,15,17,20,4
West Region,IDEA College Prep West 4,10723,2024,20,23,21,22,20,5
West Region,IDEA College Prep West 4,10724,2024,17,18,16,19,17,5
West Region,IDEA College Prep West 4,10725,2024,30,34,28,34,25,7
West Region,IDEA College Prep West 4,10726,2024,19,17,21,20,20,6
West Region,IDEA College Prep West 4,10727,2024,18,20,17,18,19,5
West Region,IDEA College Prep West 4,10728,2024,19,20,19,20,21,5
West Region,IDEA College Prep West 4,10729,2024,17,18,17,18,20,6
West Region,IDEA College Prep West 4,10730,2024,18,16,22,18,21,6
West Region,IDEA College Prep West 4,10731,2024,28,26,27,32,30,6
West Region,IDEA College Prep West 4,10732,2024,17,15,16,19,20,6
West Region,IDEA College Prep West 4,10733,2024,17,20,17,18,17,4
West Region,IDEA College Prep West 4,10734,2024,25,29,26,24,26,6
West Region,IDEA College Prep West 4,10735,2024,16,16,19,20,17,5
West Region,IDEA College Prep West 4,10736,2024,21,23,19,21,22,6
West Region,IDEA College Prep West 4,10737,2024,16,17,15,15,22,6
West Region,IDEA College Prep West 4,10738,2024,20,23,16,24,21,6
West Region,IDEA College Prep West 4,10739,2024,19,17,17,22,19,5
West Region,IDEA College Prep West 4,10740,2024,14,13,15,14,16,5
West Region,IDEA College Prep West 4,10741,2024,14,18,19,12,16,4
West Region,IDEA College Prep West 4,10742,2024,16,16,16,18,15,5
West Region,IDEA College Prep West 4,10743,2024,25,25,18,34,22,6
West Region,IDEA College Prep West 4,10744,2024,17,15,18,20,21,6
West Region,IDEA College Prep West 4,10745,2024,15,14,15,15,16,6
West Region,IDEA College Prep West 4,10746,2024,22,22,20,26,20,4
West Region,IDEA College Prep West 4,10747,2024,15,12,15,17,16,5
West Region,IDEA College Prep West 4,10748,2024,22,24,25,23,21,6
West Region,IDEA College Prep West 4,10749,2024,15,19,16,13,16,4
West Region,IDEA College Prep West 4,10750,2024,16,15,15,17,15,1
West Region,IDEA College Prep West 4,10751,2024,26,30,22,34,26,6
West Region,IDEA College Prep West 4,10752,2024,15,14,16,18,19,5
West Region,IDEA College Prep West 4,10753,2024,26,25,26,31,29,6
West Region,IDEA College Prep West 4,10754,2024,10,9,12,12,15,2
West Region,IDEA College Prep West 4,10755,2024,21,21,22,24,19,6
West Region,IDEA College Prep West 4,10756,2024,16,15,16,20,14,4
West Region,IDEA College Prep West 4,10757,2024,16,16,16,18,19,5
West Region,IDEA College Prep West 4,10758,2024,18,17,17,21,18,4
West Region,IDEA College Prep West 4,10759,2024,22,24,19,28,23,5
West Region,IDEA College Prep West 4,10760,2024,15,15,15,18,17,3
West Region,IDEA College Prep West 4,10761,2024,19,20,18,22,22,6
West Region,IDEA College Prep West 4,10762,2024,16,15,16,18,19,5
West Region,IDEA College Prep West 4,10763,2024,15,13,16,17,16,5
West Region,IDEA College Prep West 4,10764,2024,22,24,23,23,25,6
West Region,IDEA College Prep West 4,10765,2024,22,23,25,20,22,3
West Region,IDEA College Prep West 4,10766,2024,19,16,26,20,22,5
West Region,IDEA College Prep West 4,10767,2024,15,14,16,14,18,5
West Region,IDEA College Prep West 4,10768,2024,16,15,16,19,15,2
West Region,IDEA College Prep West 4,10769,2024,15,14,16,16,14,6
West Region,IDEA College Prep West 4,10770,2024,15,15,17,15,16,5
West Region,IDEA College Prep West 4,10771,2024,14,12,16,16,16,5
West Region,IDEA College Prep West 4,10772,2024,19,19,19,22,20,6
West Region,IDEA College Prep West 4,10773,2024,27,30,27,32,26,6
West Region,IDEA College Prep West 4,10774,2024,17,18,19,20,20,6
West Region,IDEA College Prep West 4,10775,2024,26,30,23,30,27,4
West Region,IDEA College Prep West 4,10776,2024,14,11,17,14,18,4
West Region,IDEA College Prep West 4,10777,2024,15,15,16,17,18,4
West Region,IDEA College Prep West 4,10778,2024,24,25,25,27,25,6
West Region,IDEA College Prep West 4,10779,2024,22,26,22,20,24,6
West Region,IDEA College Prep West 4,10780,2024,22,22,23,24,23,4
West Region,IDEA College Prep West 4,10781,2024,16,16,16,16,16,5
West Region,IDEA College Prep West 4,10782,2024,17,15,17,19,20,3
West Region,IDEA College Prep West 4,10783,2024,15,14,17,14,16,4
West Region,IDEA College Prep West 4,10784,2024,24,23,24,28,25,5
West Region,IDEA College Prep West 4,10785,2024,15,15,18,17,19,5
West Region,IDEA College Prep West 4,10786,2024,16,15,16,22,18,5
West Region,IDEA College Prep West 4,10787,2024,17,15,16,20,19,4
West Region,IDEA College Prep West 4,10788,2024,17,15,17,19,18,5
West Region,IDEA College Prep West 4,10789,2024,16,15,17,16,16,4
West Region,IDEA College Prep West 4,10790,2024,15,15,16,19,15,6
West Region,IDEA College Prep West 4,10791,2024,15,15,15,16,17,6
West Region,IDEA College Prep West 4,10792,2024,24,27,23,30,25,6
West Region,IDEA College Prep West 4,10793,2024,14,13,16,13,16,5
West Region,IDEA College Prep West 4,10794,2024,19,16,25,21,20,6
West Region,IDEA College Prep West 4,10795,2024,16,12,16,19,16,4
West Region,IDEA College Prep West 4,10796,2024,15,12,17,15,18,4
West Region,IDEA College Prep West 4,10797,2024,17,18,22,17,18,5
West Region,IDEA College Prep West 4,10798,2024,21,20,25,17,24,3
West Region,IDEA College Prep West 5,10799,2024,18,19,19,21,16,5
West Region,IDEA College Prep West 5,10800,2024,21,23,18,22,23,7
West Region,IDEA College Prep West 5,10801,2024,15,11,18,16,18,5
West Region,IDEA College Prep West 5,10802,2024,21,20,26,23,20,5
West Region,IDEA College Prep West 5,10803,2024,21,22,18,26,23,5
West Region,IDEA College Prep West 5,10804,2024,22,26,17,29,21,6
West Region,IDEA College Prep West 5,10805,2024,33,35,35,30,33,5
West Region,IDEA College Prep West 5,10806,2024,24,24,26,23,25,6
West Region,IDEA College Prep West 5,10807,2024,26,35,26,24,26,6
West Region,IDEA College Prep West 5,10808,2024,27,25,28,28,30,7
West Region,IDEA College Prep West 5,10809,2024,19,19,17,23,20,5
West Region,IDEA College Prep West 5,10810,2024,18,18,18,18,20,5
West Region,IDEA College Prep West 5,10811,2024,23,23,24,26,24,5
West Region,IDEA College Prep West 5,10812,2024,21,21,18,25,21,4
West Region,IDEA College Prep West 5,10813,2024,26,29,20,32,25,4
West Region,IDEA College Prep West 5,10814,2024,20,19,22,23,20,5
West Region,IDEA College Prep West 5,10815,2024,25,26,25,32,25,6
West Region,IDEA College Prep West 5,10816,2024,20,20,21,21,21,5
West Region,IDEA College Prep West 5,10817,2024,23,20,26,26,25,5
